province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Australian Capital Territory,Australia,0,0,0,0,-35.4735,149.0124,2020-01-23,-2,0,0,0,0,24992369,0,0,0,0,1
NA,Mexico,0,0,0,0,23,-102,2020-01-23,0,0,0,0,0,126190788,0,0,0,0,1
NA,Brazil,0,0,0,0,-14.235,-51.9253,2020-01-23,0,0,0,0,0,209469333,0,0,0,0,1
NA,Colombia,0,0,0,0,4.5709,-74.2973,2020-01-23,0,0,0,0,0,49648685,0,0,0,0,1
Hubei,China,549,24,31,0,30.9756,112.2707,2020-01-24,549,31,24,604,3.9735099337748347,1400812636,0.00006539,0.00000257,0.00000186,0.00004312,3
Guangdong,China,53,0,2,0,23.3417,113.4244,2020-01-24,-496,-29,-24,55,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000393,3
Zhejiang,China,43,0,1,0,29.1832,120.0934,2020-01-24,-10,-1,0,44,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000314,3
Beijing,China,36,0,1,0,40.1824,116.4142,2020-01-24,-7,0,0,37,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000264,3
Chongqing,China,27,0,0,0,30.0572,107.874,2020-01-24,-9,-1,0,27,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000193,3
Hunan,China,24,0,0,0,27.6104,111.7088,2020-01-24,-3,0,0,24,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000171,3
Guangxi,China,23,0,0,0,23.8298,108.7881,2020-01-24,-1,0,0,23,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000164,3
Shanghai,China,20,0,1,0,31.202,121.4491,2020-01-24,-3,1,0,21,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000150,3
Jiangxi,China,18,0,0,0,27.614,115.7221,2020-01-24,-2,-1,0,18,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000128,3
Sichuan,China,15,0,0,0,30.6171,102.7103,2020-01-24,-3,0,0,15,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000107,3
Shandong,China,15,0,0,0,36.3427,118.1498,2020-01-24,0,0,0,15,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000107,3
